FID,SHAPE,BEZEICHNUNG,WL_NUMMER
HALTESTELLEWLOGD.67,POINT (16.38740989824728 48.269440150842115),Anton-Bosch-Gasse,68
HALTESTELLEWLOGD.68,POINT (16.389739898910197 48.29639015047571),Anton-Böck-Gasse,69
HALTESTELLEWLOGD.69,POINT (16.27051989885385 48.14279015067816),Anton-Krieger-Gasse,70
HALTESTELLEWLOGD.70,POINT (16.44089989846457 48.25146015091626),Anton-Sattler-Gasse,71
HALTESTELLEWLOGD.71,POINT (16.386269898838037 48.26493015043015),Anton-Störck-Gasse,72
HALTESTELLEWLOGD.72,POINT (16.33003989915821 48.22583015086545),Antonigasse,73
HALTESTELLEWLOGD.73,POINT (16.223469898268192 48.213790150318545),Anzengruberstraße,74
HALTESTELLEWLOGD.74,POINT (16.3981298989961 48.20049015042555),Apostelgasse,75
HALTESTELLEWLOGD.75,POINT (16.2720098995208 48.133720150087356),Liesing Aquädukt,76
HALTESTELLEWLOGD.76,POINT (16.34594989957825 48.18408015048541),Margaretengürtel/Arbeitergasse,77
HALTESTELLEWLOGD.77,POINT (16.414009899556216 48.24326015089828),Arbeiterstrandbad,78
HALTESTELLEWLOGD.78,POINT (16.37672989944648 48.188550150690894),Argentinierstraße,79
HALTESTELLEWLOGD.79,POINT (16.3551598981443 48.253870150146845),Armbrustergasse,80
HALTESTELLEWLOGD.80,POINT (16.437539898605067 48.23623015061125),Arminenstraße,81
HALTESTELLEWLOGD.81,POINT (16.33697989880252 48.183660150612695),Arndtstraße,82
HALTESTELLEWLOGD.82,POINT (16.480129898903787 48.25145015081081),Arnikaweg,83
HALTESTELLEWLOGD.83,POINT (16.384719898693675 48.183890150771184),Arsenal,84
HALTESTELLEWLOGD.84,POINT (16.281329899173876 48.242510150120324),Artariastraße,85
HALTESTELLEWLOGD.85,POINT (16.372029899616145 48.1721901509194),Arthaberplatz,86
HALTESTELLEWLOGD.86,POINT (16.472719898884343 48.16395015049295),Artillerieplatz,87
HALTESTELLEWLOGD.87,POINT (16.44441989954607 48.19752015043201),Aspernallee,88
