FID,SHAPE,BEZEICHNUNG,WL_NUMMER
HALTESTELLEWLOGD.287,POINT (16.440359899908444 48.21193015103061),Donaustadtbrücke,290
HALTESTELLEWLOGD.288,POINT (16.286819898416127 48.224390150278495),Eselstiege,291
HALTESTELLEWLOGD.289,POINT (16.395949898983606 48.19655015031682),Eslarngasse,292
HALTESTELLEWLOGD.290,POINT (16.350859899192294 48.195070150290945),Esterhazygasse,293
HALTESTELLEWLOGD.291,POINT (16.461069899832516 48.1485601505518),Etrichstraße,294
HALTESTELLEWLOGD.292,POINT (16.374369898586515 48.16398015041904),Daumegasse,295
HALTESTELLEWLOGD.293,POINT (16.36036989948078 48.17979015088732),Evangelischer Friedhof,296
HALTESTELLEWLOGD.294,POINT (16.52633989902959 48.21410015061977),Eßling Schule,297
HALTESTELLEWLOGD.295,POINT (16.531619899140164 48.21623015114931),Eßling Friedhof,298
HALTESTELLEWLOGD.296,POINT (16.4750598993181 48.22272015051195),Aspernstraße,299
HALTESTELLEWLOGD.297,POINT (16.385029899360372 48.18840015010739),Fasangasse,300
HALTESTELLEWLOGD.298,POINT (16.362629898893044 48.24896015037255),"Heiligenstadt, 12.-Februar-Pl",301
HALTESTELLEWLOGD.299,POINT (16.306169898918153 48.193770150557086),Diesterweggasse,302
HALTESTELLEWLOGD.300,POINT (16.29492989886931 48.17643015038723),Wattmanngasse/Elisabethallee,303
HALTESTELLEWLOGD.301,POINT (16.32585989875944 48.24005015032213),Felix-Dahn-Straße,304
HALTESTELLEWLOGD.302,POINT (16.432209899076405 48.272940150789054),Felmayergasse,305
HALTESTELLEWLOGD.303,POINT (16.35578989839108 48.18394015004167),Fendigasse,306
HALTESTELLEWLOGD.304,POINT (16.36396989892132 48.178930150412484),Sonnleithnergasse,307
HALTESTELLEWLOGD.305,POINT (16.313419899211045 48.25636015050384),Gspöttgraben,308
HALTESTELLEWLOGD.306,POINT (16.36056989934292 48.2541201505938),Fernsprechamt Heiligenstadt,309
HALTESTELLEWLOGD.307,POINT (16.426559899492222 48.20980015015124),Ferry-Dusika-Stadion,310
HALTESTELLEWLOGD.308,POINT (16.278219898133088 48.215340150500246),Feuerwache Am Steinhof,311
HALTESTELLEWLOGD.309,POINT (16.33250989902454 48.26148015047507),Feuerwache Grinzing,312
HALTESTELLEWLOGD.310,POINT (16.460829899575543 48.19831015087353),Dampfkraftwerk,313
HALTESTELLEWLOGD.311,POINT (16.42368989973194 48.1670801509013),Fickeysstraße,314
HALTESTELLEWLOGD.312,POINT (16.39705989919263 48.15255015015485),Filmteichstraße,315
HALTESTELLEWLOGD.313,POINT (16.499809900246248 48.172260151012324),Finsterbuschstraße/Spielplatz,316
HALTESTELLEWLOGD.314,POINT (16.48328989937566 48.22433015030103),Billgasse,317
HALTESTELLEWLOGD.315,POINT (16.48076989958229 48.22273015033561),Löschniggasse,318
HALTESTELLEWLOGD.316,POINT (16.429119899342542 48.18247015036317),Firma Dietzel,319
HALTESTELLEWLOGD.317,POINT (16.450969899698865 48.193110150830776),Dammhaufengasse,320
HALTESTELLEWLOGD.318,POINT (16.34316989854082 48.14267015066552),Pfarrgasse/Traviatagasse,321
HALTESTELLEWLOGD.319,POINT (16.219089898559098 48.206190150109364),Zimbagasse,322
HALTESTELLEWLOGD.320,POINT (16.217439898762535 48.20768015026753),Auhof,323
HALTESTELLEWLOGD.321,POINT (16.428139899473642 48.180910150983195),Firma Schiff & Stern,324
HALTESTELLEWLOGD.322,POINT (16.425879899606617 48.26819015060395),Giefinggasse,325
HALTESTELLEWLOGD.323,POINT (16.228799898685107 48.1271401506817),Rodaun Wohnheim,327
HALTESTELLEWLOGD.324,POINT (16.42569989889833 48.26495015102348),Heinrich-von-Buol-Gasse,328
HALTESTELLEWLOGD.325,POINT (16.44088989956265 48.21552015099843),Fischergrund,329
HALTESTELLEWLOGD.326,POINT (16.288549898707252 48.187140149966375),Fichtnergasse,330
HALTESTELLEWLOGD.327,POINT (16.39067989895712 48.157100150815694),Florian-Geyer-Gasse,331
HALTESTELLEWLOGD.328,POINT (16.431259899652122 48.16559015068304),Florian-Hedorfer-Straße,332
HALTESTELLEWLOGD.329,POINT (16.345679898623043 48.21279015062676),Florianigasse,333
HALTESTELLEWLOGD.330,POINT (16.400019899582862 48.25672015071779),Floridsdorf,334
HALTESTELLEWLOGD.331,POINT (16.269529898640997 48.175140150445806),Joseph-Lister-Gasse,335
HALTESTELLEWLOGD.332,POINT (16.338829898207308 48.24058015086987),Flotowgasse,336
HALTESTELLEWLOGD.333,POINT (16.50429989970493 48.21563015068369),Flugfeldstraße,337
HALTESTELLEWLOGD.334,POINT (16.27883989856454 48.203830150461975),Flötzersteig,338
HALTESTELLEWLOGD.335,POINT (16.290729898749507 48.20701015012165),Flötzersteigbrücke,339
HALTESTELLEWLOGD.336,POINT (16.21814989849056 48.21800015038611),Hadersdorf Forstgarten,340
HALTESTELLEWLOGD.337,POINT (16.37497989937034 48.245240150573345),Forsthausgasse,341
HALTESTELLEWLOGD.338,POINT (16.477399898918083 48.18647015069351),Frachtenbahnhof Lobau Hafen,342
HALTESTELLEWLOGD.339,POINT (16.271229898820796 48.15472015005262),Franz-Asenbauer-Gasse,343
HALTESTELLEWLOGD.340,POINT (16.34880989930497 48.174900150043264),Franz-Josef-Spital,344
HALTESTELLEWLOGD.341,POINT (16.361049898548742 48.22568015044643),Franz-Josefs-Bahnhof,345
HALTESTELLEWLOGD.342,POINT (16.39213989885674 48.19663015069733),Krankenanstalt Rudolfstiftung,346
HALTESTELLEWLOGD.343,POINT (16.450609898637776 48.21328015067649),Franz-Pletersky-Weg,347
HALTESTELLEWLOGD.344,POINT (16.39152989854107 48.21379015077432),Franzensbrücke,348
HALTESTELLEWLOGD.345,POINT (16.382809899374028 48.14010015013985),Franzosenweg,349
HALTESTELLEWLOGD.346,POINT (16.30645989849585 48.140910150679154),Forchheimergasse,350
HALTESTELLEWLOGD.347,POINT (16.242769898457965 48.20448015042685),Freesienweg,351
HALTESTELLEWLOGD.348,POINT (16.416259898298254 48.301430150773015),Freiheitsplatz,352
HALTESTELLEWLOGD.349,POINT (16.450279899137094 48.242520150934965),Freihofsiedlung,353
HALTESTELLEWLOGD.350,POINT (16.479489898897082 48.17415015106748),Kraftwerk Freudenau,354
HALTESTELLEWLOGD.351,POINT (16.25664989808282 48.205620150456106),Freyenthurmgasse,355
HALTESTELLEWLOGD.352,POINT (16.403059898945827 48.25619015067061),Freytaggasse,356
HALTESTELLEWLOGD.353,POINT (16.364879899386757 48.22703015084845),Friedensbrücke,357
HALTESTELLEWLOGD.354,POINT (16.27100989845479 48.19916015042387),Baumgarten,358
HALTESTELLEWLOGD.355,POINT (16.40246989962531 48.20326015030932),Friedensgasse,359
HALTESTELLEWLOGD.356,POINT (16.230939898958905 48.207760150475785),Mariabrunn Kirche,360
HALTESTELLEWLOGD.357,POINT (16.419129899373033 48.16524015011029),Friedjunggasse,361
HALTESTELLEWLOGD.358,POINT (16.342019898784756 48.24575015014813),Friedlgasse,362
HALTESTELLEWLOGD.359,POINT (16.379719898251516 48.24427015036415),Friedrich-Engels-Platz,363
HALTESTELLEWLOGD.360,POINT (16.40463989879174 48.24544015072861),Friedstraße,364
HALTESTELLEWLOGD.361,POINT (16.358699899492795 48.155290150617994),Frödenplatz,365
HALTESTELLEWLOGD.362,POINT (16.392179898360006 48.25627015040525),Frömmlgasse,366
HALTESTELLEWLOGD.363,POINT (16.320189899312084 48.25196015044722),Fröschelgasse,367
HALTESTELLEWLOGD.364,POINT (16.34006989896482 48.17935015008126),Längenfeldgasse/Flurschützstr,368
HALTESTELLEWLOGD.365,POINT (16.41389989921355 48.25307015079952),Fultonstraße,369
HALTESTELLEWLOGD.366,POINT (16.293759899166755 48.21540015047902),Funkengerngasse,370
HALTESTELLEWLOGD.367,POINT (16.36147989943275 48.22305015047025),Seegasse,371
HALTESTELLEWLOGD.368,POINT (16.3015198991489 48.214080150315596),Gallitzinstraße,372
HALTESTELLEWLOGD.369,POINT (16.244269899109284 48.131690150314476),Kaltenleutgebner Straße 10/63,373
HALTESTELLEWLOGD.370,POINT (16.23191989826683 48.1284301501336),Rodaun Gasthaus Maut,374
HALTESTELLEWLOGD.371,POINT (16.432489898311292 48.29646015073812),Gasthaus Zum Friedhof,375
HALTESTELLEWLOGD.372,POINT (16.34922989825907 48.23920015024383),Gatterburggasse,376
HALTESTELLEWLOGD.373,POINT (16.42254989951527 48.1605101503846),Gattergasse,377
HALTESTELLEWLOGD.374,POINT (16.318909898924666 48.17589015053856),Gatterhölzl,378
HALTESTELLEWLOGD.375,POINT (16.343099898977812 48.187240150508195),Gaudenzdorfer Gürtel,379
HALTESTELLEWLOGD.376,POINT (16.369909899019206 48.22629015075064),Gaußplatz,380
HALTESTELLEWLOGD.377,POINT (16.31322989867714 48.174550150032395),Gaßmannstraße,381
HALTESTELLEWLOGD.378,POINT (16.39949989893764 48.17503015054369),Geiereckstraße,382
HALTESTELLEWLOGD.379,POINT (16.362739899436963 48.245230150258735),Geistingergasse,383
HALTESTELLEWLOGD.380,POINT (16.382639898909908 48.1750101507966),Gellertplatz,384
HALTESTELLEWLOGD.381,POINT (16.264859899150476 48.18118015065476),Gemeindeberggasse,385
HALTESTELLEWLOGD.382,POINT (16.503099898795607 48.21738015100763),General-Motors-Werk,386
HALTESTELLEWLOGD.383,POINT (16.455809899157106 48.229220150974896),Genochplatz,387
HALTESTELLEWLOGD.384,POINT (16.412819899398603 48.28401015094093),Brünner Straße/Hanreitergasse,388
HALTESTELLEWLOGD.385,POINT (16.366259898801417 48.2317001509551),Gerhardusgasse,389
HALTESTELLEWLOGD.386,POINT (16.42596989928447 48.168000150256134),Geringergasse,390
HALTESTELLEWLOGD.387,POINT (16.53310989933865 48.21994015065147),Gernotgasse,391
HALTESTELLEWLOGD.388,POINT (16.283369898763834 48.23920015026545),Geroldgasse,392
HALTESTELLEWLOGD.389,POINT (16.329079898485183 48.231640150353755),Gersthof,393
HALTESTELLEWLOGD.390,POINT (16.46122989916804 48.21804015095998),Ehrenpreisgasse,394
HALTESTELLEWLOGD.391,POINT (16.31656989858244 48.229960150850616),Gersthofer Friedhof,395
HALTESTELLEWLOGD.392,POINT (16.36275989931643 48.20165015084136),Getreidemarkt,396
HALTESTELLEWLOGD.393,POINT (16.394269899515 48.203830150147425),Geusaugasse,397
HALTESTELLEWLOGD.394,POINT (16.410929898933734 48.17958015040032),Zippererstraße,399
HALTESTELLEWLOGD.395,POINT (16.39086989897233 48.18808015041069),Heinrich-Drimmel-Platz,400
HALTESTELLEWLOGD.396,POINT (16.259499898443902 48.18030015060658),Ghelengasse,401
HALTESTELLEWLOGD.397,POINT (16.479059899145447 48.23755015081597),Gladiolenweg,403
HALTESTELLEWLOGD.398,POINT (16.321439899272153 48.243300150247755),Glanzing,404
HALTESTELLEWLOGD.399,POINT (16.35317989892917 48.233350150639296),Glatzgasse,405
HALTESTELLEWLOGD.400,POINT (16.266189898447852 48.163680150033386),Glawatschweg,406
HALTESTELLEWLOGD.401,POINT (16.381899898500485 48.217800150541876),Glockengasse,407
HALTESTELLEWLOGD.402,POINT (16.292059898817936 48.182990150360574),Gloriettegasse,408
HALTESTELLEWLOGD.403,POINT (16.235839898450262 48.2124501501838),Glossystraße,409
HALTESTELLEWLOGD.404,POINT (16.268729899315144 48.17921015040601),Gobergasse,410
HALTESTELLEWLOGD.405,POINT (16.418949898900998 48.22950015071092),Goethehof,411
HALTESTELLEWLOGD.406,POINT (16.275859898904855 48.182790150718546),Gogolgasse,412
HALTESTELLEWLOGD.407,POINT (16.322759899166268 48.14431015044789),Goldhammergasse,413
HALTESTELLEWLOGD.408,POINT (16.472779898812867 48.22719015050764),Gotthelfgasse,414
HALTESTELLEWLOGD.409,POINT (16.369709898883603 48.2091901506391),Graben/Petersplatz,415
HALTESTELLEWLOGD.410,POINT (16.308209898707442 48.17066015069062),Graf-Seilern-Gasse,416
HALTESTELLEWLOGD.411,POINT (16.400669899197293 48.18644015059193),Grasbergergasse,417
HALTESTELLEWLOGD.412,POINT (16.28197989822497 48.22915015079785),Grasgasse,418
HALTESTELLEWLOGD.413,POINT (16.379579898509608 48.213970150901794),Gredlerstraße,419
HALTESTELLEWLOGD.414,POINT (16.33776989825434 48.23386015080337),Gregor-Mendel-Straße,420
HALTESTELLEWLOGD.415,POINT (16.30537989942039 48.15725015011153),Gregorygasse,421
HALTESTELLEWLOGD.416,POINT (16.544259899558966 48.2193601503767),Greinzgasse,422
HALTESTELLEWLOGD.417,POINT (16.20621989845783 48.22718015048731),Greutberggasse,423
HALTESTELLEWLOGD.418,POINT (16.375039899168847 48.249480150945146),Griegstraße,424
HALTESTELLEWLOGD.419,POINT (16.416229899320307 48.17432015025736),Enkplatz,425
HALTESTELLEWLOGD.420,POINT (16.34213989901433 48.2554701509341),Grinzing,426
HALTESTELLEWLOGD.421,POINT (16.45109989981753 48.22395015097705),Am Bahnhof,427
HALTESTELLEWLOGD.422,POINT (16.36550989878033 48.25478015092809),Grinzinger Straße,428
HALTESTELLEWLOGD.423,POINT (16.444469899203828 48.2273501504739),Donaustadtstraße/Lange Allee,429
HALTESTELLEWLOGD.424,POINT (16.472959899343667 48.20189015047383),Großer Biberhaufen,430
HALTESTELLEWLOGD.425,POINT (16.40856989914501 48.27650015100173),Großjedlersdorf,431
HALTESTELLEWLOGD.426,POINT (16.366899899792788 48.14642015026983),Großmarktstraße,432
HALTESTELLEWLOGD.427,POINT (16.281759899350725 48.195460150036595),Gruschaplatz,434
HALTESTELLEWLOGD.428,POINT (16.397319899741895 48.176680150705785),Gräßlplatz,435
HALTESTELLEWLOGD.429,POINT (16.337829899415325 48.190550150309434),Gumpendorfer Straße,436
HALTESTELLEWLOGD.430,POINT (16.329689899180728 48.19329015050399),Grenzgasse,437
HALTESTELLEWLOGD.431,POINT (16.35354989930928 48.23653015035886),Guneschgasse,438
HALTESTELLEWLOGD.432,POINT (16.361719898714448 48.24466015054323),Gunoldstraße,439
HALTESTELLEWLOGD.433,POINT (16.32670989850743 48.20236015072541),Guntherstraße,440
HALTESTELLEWLOGD.434,POINT (16.540789899511704 48.20812015047356),Guntherstraße/Stadtgrenze,441
HALTESTELLEWLOGD.435,POINT (16.29003989859275 48.19458015050693),Gusenleithnergasse,442
HALTESTELLEWLOGD.436,POINT (16.32600989882708 48.24200015054568),Gustav-Pick-Gasse,443
HALTESTELLEWLOGD.437,POINT (16.335719898568524 48.159350150839266),Gutheil-Schoder-Gasse WLB,444
HALTESTELLEWLOGD.438,POINT (16.30933989824586 48.207720150682896),Gutraterplatz,445
HALTESTELLEWLOGD.439,POINT (16.374999898972398 48.19813015094664),Gußhausstraße,446
HALTESTELLEWLOGD.440,POINT (16.358739899756774 48.166490150454756),Gußriegelstraße,447
HALTESTELLEWLOGD.441,POINT (16.344749898756408 48.23001015018403),Gymnasiumstraße,448
HALTESTELLEWLOGD.442,POINT (16.254969898453787 48.21668015026672),Günselgasse,449
HALTESTELLEWLOGD.443,POINT (16.307679899301824 48.22635015005053),"Dornbach, Güpferlingstraße",450
HALTESTELLEWLOGD.444,POINT (16.241639898638 48.13774014993886),Gütenbachstraße,451
HALTESTELLEWLOGD.445,POINT (16.439149899583125 48.19121015066388),Gärtnerstraße,453
HALTESTELLEWLOGD.446,POINT (16.453119898574453 48.2703301506682),Haberditzlgasse,454
HALTESTELLEWLOGD.447,POINT (16.48977989875381 48.21890015099203),Haberlandtgasse,455
HALTESTELLEWLOGD.448,POINT (16.331139898219046 48.211710150576465),Neulerchenfelder Str/Haberlg,456
HALTESTELLEWLOGD.449,POINT (16.36779989837103 48.207640150925),Habsburgergasse,457
HALTESTELLEWLOGD.450,POINT (16.332279898432457 48.199410150059734),Beingasse,458
HALTESTELLEWLOGD.451,POINT (16.219379899143206 48.20986015020204),Hadersdorfer Hauptstraße,459
HALTESTELLEWLOGD.452,POINT (16.2242498979844 48.21031015060826),Hadersdorf Bahnhof,460
HALTESTELLEWLOGD.453,POINT (16.39505989868674 48.19184015019387),Oberzellergasse,461
HALTESTELLEWLOGD.454,POINT (16.40341989839905 48.3072701508556),Stammersdorfer Kellergasse,462
HALTESTELLEWLOGD.455,POINT (16.463269899675865 48.17529015088734),11. Haidequerstraße,463
HALTESTELLEWLOGD.456,POINT (16.442159899035936 48.17912015037282),7. Haidequerstraße,464
HALTESTELLEWLOGD.457,POINT (16.4266898997959 48.17951015080651),Haidestraße,465
HALTESTELLEWLOGD.458,POINT (16.47382989969018 48.15685015034963),Dreherstraße,466
HALTESTELLEWLOGD.459,POINT (16.316049899062183 48.23333015053118),Eckpergasse,467
HALTESTELLEWLOGD.460,POINT (16.363859898232473 48.25196015084577),Halteraugasse,468
HALTESTELLEWLOGD.461,POINT (16.46096989905628 48.16011015045043),Halterlacken,469
HALTESTELLEWLOGD.462,POINT (16.33860989959549 48.181530150709115),Hans-Mandl-Berufsschule,470
HALTESTELLEWLOGD.463,POINT (16.414179898603564 48.28631015022752),Empergergasse,471
HALTESTELLEWLOGD.464,POINT (16.294889898822312 48.19726015072831),Hütteldorfer Str/Lützowgasse,472
HALTESTELLEWLOGD.465,POINT (16.45832989953207 48.2207501505099),Hardeggasse,473
HALTESTELLEWLOGD.466,POINT (16.349039898343356 48.2370701504115),Hardtgasse,474
HALTESTELLEWLOGD.467,POINT (16.4251998985594 48.22230015019027),Harrachgasse,475
HALTESTELLEWLOGD.468,POINT (16.46462989975533 48.22560015063441),Hartlebengasse,476
HALTESTELLEWLOGD.469,POINT (16.47514989947919 48.22518015073598),Haschafeld,477
HALTESTELLEWLOGD.470,POINT (16.25124989833802 48.13726015017829),Haselbrunnerstraße,478
HALTESTELLEWLOGD.471,POINT (16.417809898860327 48.16170015097608),Hasenleitengasse,479
HALTESTELLEWLOGD.472,POINT (16.484969899598383 48.235960150807514),Hasibederstraße,480
HALTESTELLEWLOGD.473,POINT (16.318599898951994 48.210410150844034),Hasnerstraße,481
HALTESTELLEWLOGD.474,POINT (16.244169898881392 48.21775014999112),Haspelmeistergasse,482
HALTESTELLEWLOGD.475,POINT (16.40502989838999 48.27738015044578),Haspingerplatz,483
HALTESTELLEWLOGD.476,POINT (16.406939899055605 48.17469015084459),Geiselbergstraße,484
HALTESTELLEWLOGD.477,POINT (16.44384989968234 48.22162015084453),Donaustadtstraße/Deinleingasse,485
HALTESTELLEWLOGD.478,POINT (16.405999898577512 48.20935015063384),"Prater, Hauptallee",486
HALTESTELLEWLOGD.479,POINT (16.48696989997476 48.233720150750344),Hausfeldstraße,487
HALTESTELLEWLOGD.480,POINT (16.28531989830969 48.2579901501795),Dreimarkstein,488
HALTESTELLEWLOGD.481,POINT (16.415709899309718 48.260320150471614),Hawlicekgasse,489
HALTESTELLEWLOGD.482,POINT (16.3651898994455 48.24922015085288),Heiligenstadt,491
HALTESTELLEWLOGD.483,POINT (16.44601989876086 48.249400150897934),Eugen-Bormann-Gasse,492
HALTESTELLEWLOGD.484,POINT (16.368249899211673 48.24430015052039),Heiligenstädter Brücke,493
HALTESTELLEWLOGD.485,POINT (16.382329899232108 48.222290150990254),Taborstraße/Heinestraße,494
HALTESTELLEWLOGD.486,POINT (16.42818989911551 48.267030150878504),Siemensstr./H.-von-Buol-Gasse,495
HALTESTELLEWLOGD.487,POINT (16.362049899164056 48.13891015067577),Heizwerkstraße,496
HALTESTELLEWLOGD.488,POINT (16.362299899143938 48.20541015034219),Heldenplatz,497
HALTESTELLEWLOGD.489,POINT (16.365519898458388 48.21394015067932),Helferstorferstraße,498
HALTESTELLEWLOGD.490,POINT (16.456259899548385 48.18717015035889),Hellingstraße,499
HALTESTELLEWLOGD.491,POINT (16.379529899080737 48.236970150238),Dresdner Straße,500
HALTESTELLEWLOGD.492,POINT (16.33196989856889 48.19017015063249),Henriettenplatz,501
HALTESTELLEWLOGD.493,POINT (16.317039899207128 48.232480150569316),Herbeckstraße,502
HALTESTELLEWLOGD.494,POINT (16.521449899893696 48.23390015113252),Heringgasse,503
HALTESTELLEWLOGD.495,POINT (16.284029898662865 48.168240150379205),Hermesstraße,504
HALTESTELLEWLOGD.496,POINT (16.315349898648027 48.22345015072546),Hernals,505
HALTESTELLEWLOGD.497,POINT (16.365779899150414 48.20959015065066),Herrengasse,506
HALTESTELLEWLOGD.498,POINT (16.340909898371557 48.215180150807484),Hernalser Gürtel,507
HALTESTELLEWLOGD.499,POINT (16.321319898258125 48.221520150694694),Hernalser Hauptstr/Wattgasse,508
HALTESTELLEWLOGD.500,POINT (16.280469898234138 48.21525015070244),Hertlgasse,509
HALTESTELLEWLOGD.501,POINT (16.36567989901043 48.17243015079394),Herzgasse,510
HALTESTELLEWLOGD.502,POINT (16.3137698989678 48.16580015027216),Hetzendorf,511
HALTESTELLEWLOGD.503,POINT (16.392939899288372 48.20839015093938),Hetzgasse,513
HALTESTELLEWLOGD.504,POINT (16.282499898573022 48.22617015026462),Heuberg Schutzhaus,514
HALTESTELLEWLOGD.505,POINT (16.29769989924255 48.22889015006323),Heuberggasse,515
HALTESTELLEWLOGD.506,POINT (16.264019898352174 48.153040150647925),Heudörfelgasse,516
HALTESTELLEWLOGD.507,POINT (16.360989898500023 48.194930150461666),Schönbr Str/Kettenbrückengasse,517
HALTESTELLEWLOGD.508,POINT (16.30350989950606 48.1879301504696),Hietzing,520
HALTESTELLEWLOGD.509,POINT (16.273589899177143 48.253050150567425),Obere Waldandacht,521
HALTESTELLEWLOGD.510,POINT (16.3385798989508 48.22316015004336),Hildebrandgasse,522
HALTESTELLEWLOGD.511,POINT (16.4077798996869 48.221130150505026),Hillerstraße,523
HALTESTELLEWLOGD.512,POINT (16.382259899743417 48.14342015089394),Himberger Straße,524
HALTESTELLEWLOGD.513,POINT (16.295939898301274 48.2306701506856),Himmelmutterweg,525
HALTESTELLEWLOGD.514,POINT (16.33754989853983 48.257210150724326),Himmelstraße,526
HALTESTELLEWLOGD.515,POINT (16.387049899544593 48.211160150494095),Hintere Zollamtsstraße,527
HALTESTELLEWLOGD.516,POINT (16.461259899326418 48.23476015092821),Am Krautgarten,528
HALTESTELLEWLOGD.517,POINT (16.34933989835909 48.193320150256405),Hirschengasse,529
HALTESTELLEWLOGD.518,POINT (16.46653989940486 48.234670150671136),Hirschstetten Ort,530
HALTESTELLEWLOGD.519,POINT (16.47201989917517 48.23592015107023),Blumengärten Hirschstetten,531
HALTESTELLEWLOGD.520,POINT (16.468049899227466 48.2326501503178),Hirschstetten,532
HALTESTELLEWLOGD.521,POINT (16.492979899036342 48.25831015069272),Fuchsienweg,533
HALTESTELLEWLOGD.522,POINT (16.27739989914934 48.198010150628456),Hütteldorfer Str/Hochsatzeng,534
HALTESTELLEWLOGD.523,POINT (16.468049899886392 48.15590015038154),Hoefftgasse,535
HALTESTELLEWLOGD.524,POINT (16.271919898910355 48.13905015011208),Hoferstiege,536
HALTESTELLEWLOGD.525,POINT (16.37197989931718 48.28306015064428),Hofherr-Schrantz-Gasse,537
HALTESTELLEWLOGD.526,POINT (16.399559899452676 48.185180150479326),Hofmannsthalgasse,538
HALTESTELLEWLOGD.527,POINT (16.287229898418044 48.17016015066221),Hofwiesengasse,539
HALTESTELLEWLOGD.528,POINT (16.35510989901829 48.25104015065476),Hohe Warte,540
HALTESTELLEWLOGD.529,POINT (16.20273989862727 48.229030150124615),Hohe-Wand-Wiese,541
HALTESTELLEWLOGD.530,POINT (16.325899898496512 48.17419015070539),Hohenbergstraße,542
HALTESTELLEWLOGD.531,POINT (16.316869899012367 48.174020150653156),Hohenfelsplatz,543
HALTESTELLEWLOGD.532,POINT (16.372049899064418 48.21127015092236),Hoher Markt,544
HALTESTELLEWLOGD.533,POINT (16.324499898935667 48.18630015074553),Hollergasse,545
HALTESTELLEWLOGD.534,POINT (16.423129898953672 48.28493015058258),Kollarzgasse,546
HALTESTELLEWLOGD.535,POINT (16.39452989874216 48.231830150413),Holubstraße,547
HALTESTELLEWLOGD.536,POINT (16.39173989942059 48.26920015068933),Hopfengasse,548
HALTESTELLEWLOGD.537,POINT (16.276729898749128 48.183490150606026),Horeischygasse,549
HALTESTELLEWLOGD.538,POINT (16.46170989901088 48.254880150736),Hosnedlgasse,550
HALTESTELLEWLOGD.539,POINT (16.408059899143836 48.25490015045367),Hoßplatz,551
HALTESTELLEWLOGD.540,POINT (16.331809899055237 48.14083015061407),Hubermanngasse,552
HALTESTELLEWLOGD.541,POINT (16.38924989935124 48.14621015079813),Hubert-Gsur-Gasse,553
HALTESTELLEWLOGD.542,POINT (16.391879899468385 48.250590150349666),Hubertusdamm,554
HALTESTELLEWLOGD.543,POINT (16.531009898801152 48.24708015065567),Huflattichweg,555
HALTESTELLEWLOGD.544,POINT (16.32501989851566 48.19815015074445),Huglgasse,556
HALTESTELLEWLOGD.545,POINT (16.332439898207166 48.238870150222546),Hugo-Wolf-Park,557
HALTESTELLEWLOGD.546,POINT (16.281929898423808 48.18567015050818),"Unter St. Veit, Hummelgasse",558
HALTESTELLEWLOGD.547,POINT (16.46475989958833 48.20270015076113),Husarenweg,559
HALTESTELLEWLOGD.548,POINT (16.261209898574275 48.19733015072345),Hütteldorf,560
HALTESTELLEWLOGD.549,POINT (16.49474989952025 48.257210150734224),Pelargonienweg,561
HALTESTELLEWLOGD.550,POINT (16.244769898462003 48.20434015071974),Hütteldorfer Friedhof,562
HALTESTELLEWLOGD.551,POINT (16.395009899253026 48.17597015033693),Hüttenbrennergasse,563
HALTESTELLEWLOGD.552,POINT (16.22701989886113 48.21321015023247),Hüttergasse,564
HALTESTELLEWLOGD.553,POINT (16.394749898732908 48.1386701506064),Hämmerlegasse,565
HALTESTELLEWLOGD.554,POINT (16.257389898702094 48.21829015031404),Hänflingweg,566
HALTESTELLEWLOGD.555,POINT (16.542879899073622 48.231710150672946),Hänischgasse,567
HALTESTELLEWLOGD.556,POINT (16.439669898586693 48.238170150530145),Häußlergasse,568
HALTESTELLEWLOGD.557,POINT (16.376909898268245 48.23924015072786),Höchstädtplatz,569
HALTESTELLEWLOGD.558,POINT (16.295459899314448 48.14910014998214),Hödlgasse,570
HALTESTELLEWLOGD.559,POINT (16.44459989958925 48.16234015072551),Hörtengasse,571
HALTESTELLEWLOGD.560,POINT (16.459369898725363 48.254310150683764),Iberisweg,572
HALTESTELLEWLOGD.561,POINT (16.448019899606145 48.28799015073555),Illgasse,574
HALTESTELLEWLOGD.562,POINT (16.30225989845289 48.12839015010003),Liesing Industriegelände Süd,575
HALTESTELLEWLOGD.563,POINT (16.297979899661737 48.133090150400996),Industriegelände Liesing West,576
HALTESTELLEWLOGD.564,POINT (16.26234989814029 48.190930150430546),Innocentiagasse,577
HALTESTELLEWLOGD.565,POINT (16.386779899374226 48.230520150655934),Innstraße,578
HALTESTELLEWLOGD.566,POINT (16.5364498998333 48.26141015101753),Invalidensiedlung,579
HALTESTELLEWLOGD.567,POINT (16.349829898740552 48.147870150712485),Inzersdorf Friedhof,580
HALTESTELLEWLOGD.568,POINT (16.357699898942897 48.13577015069142),Inzersdorf Großmarkt,581
HALTESTELLEWLOGD.569,POINT (16.36907989930677 48.13856015049647),Blumental,582
HALTESTELLEWLOGD.571,POINT (16.463249899255093 48.25717015074504),Hosnedlgasse/Lieblgasse,584
HALTESTELLEWLOGD.572,POINT (16.336089899122946 48.151370150114026),Inzersdorf Personenbahnhof,585
HALTESTELLEWLOGD.573,POINT (16.330359898678697 48.138740150016304),"Inzersdorf, Zetschegasse",586
HALTESTELLEWLOGD.574,POINT (16.456309899117308 48.281380151039414),Iselgasse,587
HALTESTELLEWLOGD.575,POINT (16.497729899731098 48.2549701510503),Oleandergasse,588
HALTESTELLEWLOGD.576,POINT (16.283619899159433 48.177140150773305),Jagdschloßgasse,589
